BD14/AEEF,RSSI
1411801732707,-75
1411801733041,-72
1411801733083,-72
1411801733390,-72
1411801733424,-72
1411801734210,-74
1411801734229,-74
1411801734836,-73
1411801734864,-73
1411801735175,-72
1411801735209,-72
1411801735897,-72
1411801735985,-72
1411801736250,-73
1411801736299,-73
1411801736962,-71
1411801736996,-71
1411801737309,-73
1411801737341,-73
1411801737660,-73
1411801737703,-73
1411801738026,-75
1411801738063,-75
1411801738374,-72
1411801738407,-72
1411801739109,-74
1411801739139,-74
1411801739488,-73
1411801739524,-73
1411801739789,-74
1411801739833,-74
1411801740551,-73
1411801740628,-73
1411801740902,-68
1411801740926,-68
1411801741196,-74
1411801741219,-74
1411801741600,-74
1411801741619,-74
1411801741904,-74
1411801741928,-74
1411801742272,-75
1411801742317,-75
1411801742619,-74
1411801742658,-74
1411801742964,-74
1411801742986,-74
1411801743349,-74
1411801743388,-74
1411801744023,-74
1411801744055,-74
1411801744372,-74
1411801744395,-74
1411801744797,-73
1411801744822,-73
1411801745263,-74
1411801745288,-74
1411801745435,-74
1411801745471,-74
1411801745970,-73
1411801745994,-73
1411801746145,-72
1411801746172,-72
1411801746581,-73
1411801746614,-73
1411801746862,-72
1411801746904,-72
1411801747588,-75
1411801747608,-75
1411801747996,-73
1411801748019,-73
1411801748297,-71
1411801748323,-71
1411801748659,-72
1411801748702,-72
1411801748995,-74
1411801749033,-74
1411801749368,-74
1411801749455,-74
1411801750065,-68
1411801750108,-68
1411801750476,-88
1411801750508,-88
1411801750762,-81
1411801750785,-81
1411801751490,-72
1411801751516,-72
1411801751842,-71
1411801751874,-71
1411801752178,-80
1411801752227,-80
1411801752530,-86
1411801752556,-86
1411801753242,-73
1411801753287,-73
1411801753698,-72
1411801753722,-72
1411801754308,-78
1411801754329,-78
1411801755070,-71
1411801755188,-71
1411801755786,-77
1411801755817,-77
1411801756790,-77
1411801756819,-77
1411801757672,-75
1411801757694,-75
1411801758230,-73
1411801758272,-73
1411801758661,-67
1411801758695,-67
1411801758919,-80
1411801758959,-80
1411801759346,-69
1411801759369,-69
1411801759653,-77
1411801759673,-77
1411801760120,-78
1411801760167,-78
1411801760772,-73
1411801760801,-73
1411801761027,-74
1411801761053,-74
1411801761493,-73
1411801761529,-73
1411801761859,-73
1411801761894,-73
1411801762352,-73
1411801762379,-73
1411801762443,-75
1411801762497,-75
1411801762812,-75
1411801762854,-75
1411801763249,-72
1411801763281,-72
1411801763519,-70
1411801763543,-70
1411801763871,-80
1411801763894,-80
1411801764233,-71
1411801764313,-71
1411801764578,-69
1411801764608,-69
1411801764948,-71
1411801764979,-71
1411801765425,-80
1411801765449,-80
1411801766075,-70
1411801766405,-81
1411801766428,-81
1411801766751,-79
1411801766773,-79
1411801767421,-77
1411801767449,-77
1411801768171,-78
1411801768218,-78
1411801768549,-78
1411801768569,-78
1411801769209,-78
1411801769237,-78
1411801769910,-78
1411801769931,-78
1411801770663,-79
1411801770697,-79
1411801771030,-70
1411801771052,-70
1411801771340,-71
